Product_Name,Price,Rating,Review,Link
"APPLE iPhone 12 (Blue, 64 GB)",77900,3168,272,https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NOXBUPN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",32999,101266,8583,https://www.flipkart.com/apple-iphone-se-white-64-gb-includes-earpods-power-adapter/p/itmaf546e27c4eaf?pid=MOBFRFXHMEZRCXRV&lid=LSTMOBFRFXHMEZRCXRVDHSVH1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFRFXHMEZRCXRV.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone 12 (White, 64 GB)",77900,3168,272,https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9&lid=LSTMOBFWBYZTK33MBG9YC4F9Y&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWBYZTK33MBG9.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",79999,7443,553,https://www.flipkart.com/apple-iphone-11-pro-midnight-green-64-gb/p/itm471de0d2e8474?pid=MOBFKCTSN3TG3RFJ&lid=LSTMOBFKCTSN3TG3RFJWPVPDJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFKCTSN3TG3RFJ.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Black, 128 GB)",82900,3168,272,https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72SELGT5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZK3HACR72.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Black, 64 GB)",77900,3168,272,https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VP98XIL4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZU5FWK2VP.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Green, 128 GB)",82900,3168,272,https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48&lid=LSTMOBFWBYZQXUEHF487CPMKU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZQXUEHF48.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",46999,84117,7169,https://www.flipkart.com/apple-iphone-xr-product-red-128-gb-includes-earpods-power-adapter/p/itmf9z7zbkvjzegf?pid=MOBF9Z7ZHQC23PWQ&lid=LSTMOBF9Z7ZHQC23PWQUPEBQY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBF9Z7ZHQC23PWQ.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Red, 64 GB)",77900,3168,272,https://www.flipkart.com/apple-iphone-12-red-64-gb/p/itm3481e4053d500?pid=MOBFWBYZDP6QCQ8F&lid=LSTMOBFWBYZDP6QCQ8FEL9UPN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZDP6QCQ8F.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",47999,101266,8583,https://www.flipkart.com/apple-iphone-se-black-256-gb-includes-earpods-power-adapter/p/itm904337fdd4d7f?pid=MOBFRFXHKRKWJQUS&lid=LSTMOBFRFXHKRKWJQUSKVPYRP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFRFXHKRKWJQUS.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
